demo_id,domain,status,mode,returncode,seconds,code_sha256,stdout_path,stderr_path,stdout_sha256,stderr_sha256,notes
33,standard_model,PASS,cert,0,0.566404,33413bbb5d92dc70572d72e928f9adf6e165b493a74ed01da1bb19e1361460af,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/standard_model__demo-33-first-principles-standard-model-sm28-closure.out.txt,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/standard_model__demo-33-first-principles-standard-model-sm28-closure.err.txt,e99729564a0915a259accc26d954a8893e430a92ebd9296f2122445d003a5428,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
34,bridge,PASS,run,0,0.741362,396c4588e85de170a7ea898ac1311b1f09ae7cef7024cc8f619ccb82cc00de1e,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/bridge__demo-34-omega-sm-master-flagship-v1.out.txt,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/bridge__demo-34-omega-sm-master-flagship-v1.err.txt,8f81fed2592099d0936660d329b5f7564340f500f1bd0ed990a05dc5b485da9d,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
36,cosmo,PASS,run,0,16.870428,be1384b930644f1d3e142422a1603811e2363014c4824850de0b205d4519bc8f,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/cosmo__demo-36-big-bang-master-flagship.out.txt,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/cosmo__demo-36-big-bang-master-flagship.err.txt,2b2c80a098909b98712d6c755400d689563cf93374d97571cadefa11954b6a21,8a127c70176f7aaf960b1d05e9a2d7faa5ada4d4a75b14b935cc1d256a2e6fd4,
37,standard_model,PASS,run,0,0.228896,2278243c792ac568e606e097da916f958d26486f4c96367cef7bba5914aac20b,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/standard_model__demo-37-math-sm-master-flagship.out.txt,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/standard_model__demo-37-math-sm-master-flagship.err.txt,21b75e132cd2fe27ee3d5f6aa0aad2249b43f14184af86200a0db1f0237a57d8,fa7469ec28d85a25f1673d080d3e681cf07623cdbb3f031dcdbe5bf731de5745,
39,cosmo,PASS,run,0,0.311787,e72e7790657950b2f91ec38c3a9014394a10ed5ad0d48ede23e29a124edf1b64,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/cosmo__demo-39-bb-a2.out.txt,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/cosmo__demo-39-bb-a2.err.txt,c75e28cb047898c8ae03141ddbe6ca7128c06f5e3517d2e8e2c6e5359b48ffc9,1d387fcbd16df8bad75dbbdf152f1d6614037fa87fbdf67cfde1f2149321c33a,
40,substrate,PASS,run,0,0.218084,b12dd83a0b14307ec17de80f1286391c85bdae6904536a556a4e35d9445e7eb4,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/substrate__demo-40-universe-from-zero.out.txt,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/substrate__demo-40-universe-from-zero.err.txt,47686e71248f4dce26f3598a669e941b84095ef130093952546602f3844b330a,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
51,general_relativity,PASS,run,0,0.065107,f0912b3074c3de95e9b8e78cbc92dd5a1c576a65b31587889009bdbfd838e870,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/general_relativity__demo-51-qft-gr-vacuum-suppression.out.txt,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/general_relativity__demo-51-qft-gr-vacuum-suppression.err.txt,ad58a4e9d5b60e49d75d443075d2fe190b349d0d649ac8d13b0f1bb5b023ea51,35c80af9739e17ee611fa001036951b10126d268e2e8c09073659a1536a2a96b,
53,foundations,PASS,run,0,0.587392,3bb3ee1797bb7e46bbd488f7c27a631b6677a28d6b026623bd9fcb76bd04b45d,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/foundations__demo-53-lawbook-emergence.out.txt,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/foundations__demo-53-lawbook-emergence.err.txt,6734da516df09d588bd58935c093ecba9d8b22fde4d3bd5b752a2410749171e6,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
54,standard_model,PASS,run,0,2.416835,c43a2a3b36de4d68a45882247387ca0746ecb1ebc27a486d1dd359b95820ee65,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/standard_model__demo-54-master-flagship-demo.out.txt,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/standard_model__demo-54-master-flagship-demo.err.txt,0f0547e9de6edca92d06abd72e4e11288f1f43ec27420b44145e46faf3918301,895fd24a412edb6859f1ef50adcb189acc1efbc15057b2383c6dddae5d8ae2ac,
55,standard_model,PASS,run,0,0.054755,d614263c9bf5aa4aba59c632765808ae521f5834390a1b6dc9cfb2ce712a3a49,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/standard_model__demo-55-proton-charge-radius.out.txt,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/standard_model__demo-55-proton-charge-radius.err.txt,0943e4f07cf804350c5eea46a3c33aa133a25e48b74bbe1a16bc4a676ffda248,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
56,controllers,PASS,run,0,22.360663,833acd006473c7d3b15edab630458e0d6098299041ac0850bf0dd2e8805e90a6,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/controllers__demo-56-deterministic-operator-calculus-vs-fd.out.txt,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/controllers__demo-56-deterministic-operator-calculus-vs-fd.err.txt,19a7ceb16e9641b666a92ecc438d236c47539f45311ec539a6333e2b9a883e3b,f5e77d1c0760411daab72a905be3a6857e6de36e2c294f89baae057b14b68404,
58,general_relativity,PASS,run,0,0.920286,4a573b4927fb8682d04293870edd17e90aa84c972f12da542e448a4eebc9b7be,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/general_relativity__demo-58-emergent-weak-field-gr.out.txt,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/general_relativity__demo-58-emergent-weak-field-gr.err.txt,983fa9356e8b6a13975b8d02a866fda81aa01f7e614ac18ae71e5adf665c6bcc,f88b058fa935fe5c42dfe6b7c419ef5aff0af563f54f74a6a449e918601de914,
59,controllers,PASS,run,0,0.684603,e2c60511de1f189674d6de23fa3a2e49fe5515c9a6b14738e715d1adf3cf1b1f,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/controllers__demo-59-electromagnetism.out.txt,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/controllers__demo-59-electromagnetism.err.txt,4d8911cb4028452130af49f135fd355f108f0ad63dc3fc37a4aaedc4f7107cf1,d08bda10cb25f4a936eeab5960d1419880898b4d7558a46719818b03c013a318,
60,quantum,PASS,run,0,0.281925,fba4ac6667a7e649d774e3aee773be53362fd17c92af83a116c2122536b660f2,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/quantum__demo-60-quantum-master-flagship.out.txt,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/quantum__demo-60-quantum-master-flagship.err.txt,7b7455bbfedbdd1e801d3f05f035421f9cf83b4a942106938315e638d7be9370,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
63,general_relativity,PASS,run,0,0.132718,ac29eabd147832e91543a2f1b2975d222ea526e2536e9c34a63e3fb193b4c37d,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/general_relativity__demo-63-gravitational-wave-inspiral-phasing.out.txt,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/general_relativity__demo-63-gravitational-wave-inspiral-phasing.err.txt,344e08e4ce9a67f3d759957de85f4863e70a887bf74b6c18f6923a13e39d7d22,d28d2cdfc44fd8aa9c1f8033ea98b5007dd8eb6976a2763e0873089fb2acf675,
64,substrate,PASS,run,0,0.075099,6c0694a41546b177acc71cc8e29d6ca3395e2c8feacedc5affe2063a4251aca5,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/substrate__demo-64-base-gauge-invariance-integer-selector.out.txt,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/substrate__demo-64-base-gauge-invariance-integer-selector.err.txt,a2094e1b693aa77f2662b823a3eb5b8459abbe271e94b2c80697ecff2f6bca79,32d37004e3a4e4a22878824c52cf7dc3139912100a73c1a7cbea4a11209afa9d,
65,infinity,PASS,run,0,2.760639,fbc59e24b80b3f94061e68fa213b7cc6b7b37090d1cb6b14ea0d05f2b4161d3a,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/infinity__demo-65-continuous-lift-paradox.out.txt,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/infinity__demo-65-continuous-lift-paradox.err.txt,97449289d266fb12ed4c03a2f998ea14d45cab1f19ac92fcd2d5551004b4b506,a3eba0d313dafa5c500d29d333d096a3bd7baccce8c90289a9bda316c9fd2cc8,
66,quantum_gravity,PASS,cert,0,0.173034,5e431f10e79a0aa5947fb14b0922c6500871332b8d981cd7a3fb36723660742b,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/quantum_gravity__demo-66-quantum-gravity-master-flagship-v4.out.txt,GUM/authority_archive/AOR_20260124T174641Z_c0ad3ce/GUM_BUNDLE_v30_20260124T174641Z/logs/quantum_gravity__demo-66-quantum-gravity-master-flagship-v4.err.txt,61247967cdd7725cd8b866ef924d2942a433aad12ac98213c325ec13296ac70c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
