demo_id,domain,status,mode,returncode,seconds,code_sha256,stdout_path,stderr_path,stdout_sha256,stderr_sha256,notes
33,standard_model,PASS,cert,0,0.644775,33413bbb5d92dc70572d72e928f9adf6e165b493a74ed01da1bb19e1361460af,GUM/authority_archive/AOR_20260124T190752Z_38d3214/GUM_BUNDLE_v30_20260124T190752Z/logs/standard_model__demo-33-first-principles-standard-model-sm28-closure.out.txt,GUM/authority_archive/AOR_20260124T190752Z_38d3214/GUM_BUNDLE_v30_20260124T190752Z/logs/standard_model__demo-33-first-principles-standard-model-sm28-closure.err.txt,e99729564a0915a259accc26d954a8893e430a92ebd9296f2122445d003a5428,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
34,bridge,PASS,run,0,0.88782,396c4588e85de170a7ea898ac1311b1f09ae7cef7024cc8f619ccb82cc00de1e,GUM/authority_archive/AOR_20260124T190752Z_38d3214/GUM_BUNDLE_v30_20260124T190752Z/logs/bridge__demo-34-omega-sm-master-flagship-v1.out.txt,GUM/authority_archive/AOR_20260124T190752Z_38d3214/GUM_BUNDLE_v30_20260124T190752Z/logs/bridge__demo-34-omega-sm-master-flagship-v1.err.txt,36ff95a6bed180bfcc0c24e21b520cbdfa4ab3de299fc29a258d4f0133613a8d,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
36,cosmo,PASS,run,0,17.930307,be1384b930644f1d3e142422a1603811e2363014c4824850de0b205d4519bc8f,GUM/authority_archive/AOR_20260124T190752Z_38d3214/GUM_BUNDLE_v30_20260124T190752Z/logs/cosmo__demo-36-big-bang-master-flagship.out.txt,GUM/authority_archive/AOR_20260124T190752Z_38d3214/GUM_BUNDLE_v30_20260124T190752Z/logs/cosmo__demo-36-big-bang-master-flagship.err.txt,50e3784050e041db25d94894ed20d60828413107a0d791e6e330db53950bd5ad,8a127c70176f7aaf960b1d05e9a2d7faa5ada4d4a75b14b935cc1d256a2e6fd4,
37,standard_model,PASS,run,0,0.241973,2278243c792ac568e606e097da916f958d26486f4c96367cef7bba5914aac20b,GUM/authority_archive/AOR_20260124T190752Z_38d3214/GUM_BUNDLE_v30_20260124T190752Z/logs/standard_model__demo-37-math-sm-master-flagship.out.txt,GUM/authority_archive/AOR_20260124T190752Z_38d3214/GUM_BUNDLE_v30_20260124T190752Z/logs/standard_model__demo-37-math-sm-master-flagship.err.txt,03ed934034e7e1819db5416c074bc03362da60628d091f0991226f3b89b3b034,fa7469ec28d85a25f1673d080d3e681cf07623cdbb3f031dcdbe5bf731de5745,
39,cosmo,PASS,run,0,0.310997,e72e7790657950b2f91ec38c3a9014394a10ed5ad0d48ede23e29a124edf1b64,GUM/authority_archive/AOR_20260124T190752Z_38d3214/GUM_BUNDLE_v30_20260124T190752Z/logs/cosmo__demo-39-bb-a2.out.txt,GUM/authority_archive/AOR_20260124T190752Z_38d3214/GUM_BUNDLE_v30_20260124T190752Z/logs/cosmo__demo-39-bb-a2.err.txt,be2399bd6c644b943888d25369512672778b960f1650ae6ad7e30f7cc808f9bf,1d387fcbd16df8bad75dbbdf152f1d6614037fa87fbdf67cfde1f2149321c33a,
40,substrate,PASS,run,0,0.211693,b12dd83a0b14307ec17de80f1286391c85bdae6904536a556a4e35d9445e7eb4,GUM/authority_archive/AOR_20260124T190752Z_38d3214/GUM_BUNDLE_v30_20260124T190752Z/logs/substrate__demo-40-universe-from-zero.out.txt,GUM/authority_archive/AOR_20260124T190752Z_38d3214/GUM_BUNDLE_v30_20260124T190752Z/logs/substrate__demo-40-universe-from-zero.err.txt,ab8b6069f36a7fccd2d5d0f38141d5524d0d952ec644a21e70f3a436a102d681,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
51,general_relativity,PASS,run,0,0.060258,f0912b3074c3de95e9b8e78cbc92dd5a1c576a65b31587889009bdbfd838e870,GUM/authority_archive/AOR_20260124T190752Z_38d3214/GUM_BUNDLE_v30_20260124T190752Z/logs/general_relativity__demo-51-qft-gr-vacuum-suppression.out.txt,GUM/authority_archive/AOR_20260124T190752Z_38d3214/GUM_BUNDLE_v30_20260124T190752Z/logs/general_relativity__demo-51-qft-gr-vacuum-suppression.err.txt,63ecaae3d1d8f64a9c9cf9c88ef9813ec42cfe5622beb48e4a08d87518d7fdce,35c80af9739e17ee611fa001036951b10126d268e2e8c09073659a1536a2a96b,
53,foundations,PASS,run,0,0.561393,3bb3ee1797bb7e46bbd488f7c27a631b6677a28d6b026623bd9fcb76bd04b45d,GUM/authority_archive/AOR_20260124T190752Z_38d3214/GUM_BUNDLE_v30_20260124T190752Z/logs/foundations__demo-53-lawbook-emergence.out.txt,GUM/authority_archive/AOR_20260124T190752Z_38d3214/GUM_BUNDLE_v30_20260124T190752Z/logs/foundations__demo-53-lawbook-emergence.err.txt,6734da516df09d588bd58935c093ecba9d8b22fde4d3bd5b752a2410749171e6,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
54,standard_model,PASS,run,0,2.332937,c43a2a3b36de4d68a45882247387ca0746ecb1ebc27a486d1dd359b95820ee65,GUM/authority_archive/AOR_20260124T190752Z_38d3214/GUM_BUNDLE_v30_20260124T190752Z/logs/standard_model__demo-54-master-flagship-demo.out.txt,GUM/authority_archive/AOR_20260124T190752Z_38d3214/GUM_BUNDLE_v30_20260124T190752Z/logs/standard_model__demo-54-master-flagship-demo.err.txt,6441757381397762af99d6c79d51f5034dd424366fa355597c0c00286134a177,895fd24a412edb6859f1ef50adcb189acc1efbc15057b2383c6dddae5d8ae2ac,
55,standard_model,PASS,run,0,0.055183,d614263c9bf5aa4aba59c632765808ae521f5834390a1b6dc9cfb2ce712a3a49,GUM/authority_archive/AOR_20260124T190752Z_38d3214/GUM_BUNDLE_v30_20260124T190752Z/logs/standard_model__demo-55-proton-charge-radius.out.txt,GUM/authority_archive/AOR_20260124T190752Z_38d3214/GUM_BUNDLE_v30_20260124T190752Z/logs/standard_model__demo-55-proton-charge-radius.err.txt,b473cbb2269d1a2f93a11ffb44bf8e513374636a70df7e41f04f7bbd03359589,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
56,controllers,PASS,run,0,21.169956,833acd006473c7d3b15edab630458e0d6098299041ac0850bf0dd2e8805e90a6,GUM/authority_archive/AOR_20260124T190752Z_38d3214/GUM_BUNDLE_v30_20260124T190752Z/logs/controllers__demo-56-deterministic-operator-calculus-vs-fd.out.txt,GUM/authority_archive/AOR_20260124T190752Z_38d3214/GUM_BUNDLE_v30_20260124T190752Z/logs/controllers__demo-56-deterministic-operator-calculus-vs-fd.err.txt,ced2f8ffdec2334ac2dc8a6d8a55e32745427023d9988fb29c13e5554eedac97,f5e77d1c0760411daab72a905be3a6857e6de36e2c294f89baae057b14b68404,
