demo_id,domain,status,mode,returncode,seconds,code_sha256,stdout_path,stderr_path,stdout_sha256,stderr_sha256,notes
33,standard_model,PASS,cert,0,0.578123,33413bbb5d92dc70572d72e928f9adf6e165b493a74ed01da1bb19e1361460af,gum/authority_archive/AOR_20260205T030808Z_4fb714c/GUM_BUNDLE_v30_20260205T030808Z/logs/standard_model__demo-33-first-principles-standard-model-sm28-closure.out.txt,gum/authority_archive/AOR_20260205T030808Z_4fb714c/GUM_BUNDLE_v30_20260205T030808Z/logs/standard_model__demo-33-first-principles-standard-model-sm28-closure.err.txt,e99729564a0915a259accc26d954a8893e430a92ebd9296f2122445d003a5428,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
34,bridge,PASS,run,0,0.791796,396c4588e85de170a7ea898ac1311b1f09ae7cef7024cc8f619ccb82cc00de1e,gum/authority_archive/AOR_20260205T030808Z_4fb714c/GUM_BUNDLE_v30_20260205T030808Z/logs/bridge__demo-34-omega-sm-master-flagship.out.txt,gum/authority_archive/AOR_20260205T030808Z_4fb714c/GUM_BUNDLE_v30_20260205T030808Z/logs/bridge__demo-34-omega-sm-master-flagship.err.txt,62972a12e64c4e118947b6569093482aeeed6eaf3e7a3651e6b058af1bfe3466,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
36,cosmo,PASS,run,0,16.455777,ab74d2b829420baf3a834e637af3d36d1cc613f1b0b02ceba9894b1fb466f414,gum/authority_archive/AOR_20260205T030808Z_4fb714c/GUM_BUNDLE_v30_20260205T030808Z/logs/cosmo__demo-36-big-bang-master-flagship.out.txt,gum/authority_archive/AOR_20260205T030808Z_4fb714c/GUM_BUNDLE_v30_20260205T030808Z/logs/cosmo__demo-36-big-bang-master-flagship.err.txt,826b48b977d9895777d2c6acd332b888666c3086fb5c1519171e20e8fd0efdd6,8a127c70176f7aaf960b1d05e9a2d7faa5ada4d4a75b14b935cc1d256a2e6fd4,
37,standard_model,PASS,run,0,0.228183,2278243c792ac568e606e097da916f958d26486f4c96367cef7bba5914aac20b,gum/authority_archive/AOR_20260205T030808Z_4fb714c/GUM_BUNDLE_v30_20260205T030808Z/logs/standard_model__demo-37-math-sm-master-flagship.out.txt,gum/authority_archive/AOR_20260205T030808Z_4fb714c/GUM_BUNDLE_v30_20260205T030808Z/logs/standard_model__demo-37-math-sm-master-flagship.err.txt,362b5bae765ed1fe18c6211714df4cfb638a54bbb2e7bb10ed5d5cbcdb46ef15,fa7469ec28d85a25f1673d080d3e681cf07623cdbb3f031dcdbe5bf731de5745,
39,cosmo,PASS,run,0,0.334728,e72e7790657950b2f91ec38c3a9014394a10ed5ad0d48ede23e29a124edf1b64,gum/authority_archive/AOR_20260205T030808Z_4fb714c/GUM_BUNDLE_v30_20260205T030808Z/logs/cosmo__demo-39-bb-a2.out.txt,gum/authority_archive/AOR_20260205T030808Z_4fb714c/GUM_BUNDLE_v30_20260205T030808Z/logs/cosmo__demo-39-bb-a2.err.txt,dd692562d511781c70ecb6fd1bba204d3c010dc4f2c6333d824f8dc31a508199,1d387fcbd16df8bad75dbbdf152f1d6614037fa87fbdf67cfde1f2149321c33a,
40,substrate,PASS,run,0,0.188298,b12dd83a0b14307ec17de80f1286391c85bdae6904536a556a4e35d9445e7eb4,gum/authority_archive/AOR_20260205T030808Z_4fb714c/GUM_BUNDLE_v30_20260205T030808Z/logs/substrate__demo-40-universe-from-zero.out.txt,gum/authority_archive/AOR_20260205T030808Z_4fb714c/GUM_BUNDLE_v30_20260205T030808Z/logs/substrate__demo-40-universe-from-zero.err.txt,3ef9d462d21b5d427f2a2a23812be4520542924b0d66fe08976e4b383e63ca6b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
51,general_relativity,PASS,run,0,0.05943,f0912b3074c3de95e9b8e78cbc92dd5a1c576a65b31587889009bdbfd838e870,gum/authority_archive/AOR_20260205T030808Z_4fb714c/GUM_BUNDLE_v30_20260205T030808Z/logs/general_relativity__demo-51-qft-gr-vacuum-suppression.out.txt,gum/authority_archive/AOR_20260205T030808Z_4fb714c/GUM_BUNDLE_v30_20260205T030808Z/logs/general_relativity__demo-51-qft-gr-vacuum-suppression.err.txt,d5f13c46eedd80f89c7f0db70505b0e9cbb0d2db28c295ab13c6b9a662a3cf0b,35c80af9739e17ee611fa001036951b10126d268e2e8c09073659a1536a2a96b,
53,foundations,PASS,run,0,0.534963,3bb3ee1797bb7e46bbd488f7c27a631b6677a28d6b026623bd9fcb76bd04b45d,gum/authority_archive/AOR_20260205T030808Z_4fb714c/GUM_BUNDLE_v30_20260205T030808Z/logs/foundations__demo-53-lawbook-emergence.out.txt,gum/authority_archive/AOR_20260205T030808Z_4fb714c/GUM_BUNDLE_v30_20260205T030808Z/logs/foundations__demo-53-lawbook-emergence.err.txt,6734da516df09d588bd58935c093ecba9d8b22fde4d3bd5b752a2410749171e6,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
54,standard_model,PASS,run,0,2.746652,c43a2a3b36de4d68a45882247387ca0746ecb1ebc27a486d1dd359b95820ee65,gum/authority_archive/AOR_20260205T030808Z_4fb714c/GUM_BUNDLE_v30_20260205T030808Z/logs/standard_model__demo-54-master-flagship-demo.out.txt,gum/authority_archive/AOR_20260205T030808Z_4fb714c/GUM_BUNDLE_v30_20260205T030808Z/logs/standard_model__demo-54-master-flagship-demo.err.txt,f3a3430a28c213b0214146853fa39894482c6440a4789f99b3c576897c5f1ed8,895fd24a412edb6859f1ef50adcb189acc1efbc15057b2383c6dddae5d8ae2ac,
55,standard_model,PASS,run,0,0.054741,d614263c9bf5aa4aba59c632765808ae521f5834390a1b6dc9cfb2ce712a3a49,gum/authority_archive/AOR_20260205T030808Z_4fb714c/GUM_BUNDLE_v30_20260205T030808Z/logs/standard_model__demo-55-proton-charge-radius.out.txt,gum/authority_archive/AOR_20260205T030808Z_4fb714c/GUM_BUNDLE_v30_20260205T030808Z/logs/standard_model__demo-55-proton-charge-radius.err.txt,bbae877f49195b78fd588158e04a220ca79916a685956f7c3b95c1b052756738,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
