demo_id,domain,status,mode,returncode,seconds,code_sha256,stdout_path,stderr_path,stdout_sha256,stderr_sha256,notes
33,standard_model,PASS,cert,0,0.551272,33413bbb5d92dc70572d72e928f9adf6e165b493a74ed01da1bb19e1361460af,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/standard_model__demo-33-first-principles-standard-model-sm28-closure.out.txt,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/standard_model__demo-33-first-principles-standard-model-sm28-closure.err.txt,e99729564a0915a259accc26d954a8893e430a92ebd9296f2122445d003a5428,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
34,bridge,PASS,run,0,0.701052,396c4588e85de170a7ea898ac1311b1f09ae7cef7024cc8f619ccb82cc00de1e,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/bridge__demo-34-omega-sm-master-flagship.out.txt,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/bridge__demo-34-omega-sm-master-flagship.err.txt,b9a4cb6088917045d7cd88ada64f97e772cbffb636ee342badc7d439d8ebb1c3,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
36,cosmo,PASS,run,0,23.675064,ab74d2b829420baf3a834e637af3d36d1cc613f1b0b02ceba9894b1fb466f414,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/cosmo__demo-36-big-bang-master-flagship.out.txt,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/cosmo__demo-36-big-bang-master-flagship.err.txt,35f102689dbbfc735982009ac74227846f982de0b5b1b70c02366d533e3729d5,8a127c70176f7aaf960b1d05e9a2d7faa5ada4d4a75b14b935cc1d256a2e6fd4,
37,standard_model,PASS,run,0,0.229912,2278243c792ac568e606e097da916f958d26486f4c96367cef7bba5914aac20b,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/standard_model__demo-37-math-sm-master-flagship.out.txt,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/standard_model__demo-37-math-sm-master-flagship.err.txt,79cbe5635634c7fc441ca9cacb7be75f7799b24b0769380b370ab68f4abafa82,fa7469ec28d85a25f1673d080d3e681cf07623cdbb3f031dcdbe5bf731de5745,
39,cosmo,PASS,run,0,0.311273,e72e7790657950b2f91ec38c3a9014394a10ed5ad0d48ede23e29a124edf1b64,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/cosmo__demo-39-bb-a2.out.txt,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/cosmo__demo-39-bb-a2.err.txt,b6851443129184fe993f6b5836135867fc3b396a7473a18d16a8ca3236531a01,1d387fcbd16df8bad75dbbdf152f1d6614037fa87fbdf67cfde1f2149321c33a,
40,substrate,PASS,run,0,0.196005,b12dd83a0b14307ec17de80f1286391c85bdae6904536a556a4e35d9445e7eb4,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/substrate__demo-40-universe-from-zero.out.txt,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/substrate__demo-40-universe-from-zero.err.txt,7bb965de34c692d9a9b754e6abf075f0d376f9e2c9f1df9ac7ce296862c6071d,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
51,general_relativity,PASS,run,0,0.065655,f0912b3074c3de95e9b8e78cbc92dd5a1c576a65b31587889009bdbfd838e870,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/general_relativity__demo-51-qft-gr-vacuum-suppression.out.txt,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/general_relativity__demo-51-qft-gr-vacuum-suppression.err.txt,b91fff7d977150c776c7ba6511812b0ff285413127c829721859c55e7ef2b716,35c80af9739e17ee611fa001036951b10126d268e2e8c09073659a1536a2a96b,
53,foundations,PASS,run,0,0.535108,3bb3ee1797bb7e46bbd488f7c27a631b6677a28d6b026623bd9fcb76bd04b45d,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/foundations__demo-53-lawbook-emergence.out.txt,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/foundations__demo-53-lawbook-emergence.err.txt,6734da516df09d588bd58935c093ecba9d8b22fde4d3bd5b752a2410749171e6,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
54,standard_model,PASS,run,0,2.383589,c43a2a3b36de4d68a45882247387ca0746ecb1ebc27a486d1dd359b95820ee65,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/standard_model__demo-54-master-flagship-demo.out.txt,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/standard_model__demo-54-master-flagship-demo.err.txt,19ab58856f9b72db2899f40703a67bd8ea6978db42ff50d29b35fbbc24067678,895fd24a412edb6859f1ef50adcb189acc1efbc15057b2383c6dddae5d8ae2ac,
55,standard_model,PASS,run,0,0.057033,d614263c9bf5aa4aba59c632765808ae521f5834390a1b6dc9cfb2ce712a3a49,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/standard_model__demo-55-proton-charge-radius.out.txt,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/standard_model__demo-55-proton-charge-radius.err.txt,56f1ca76a2f7dd593c143149bc1fdf13c5ddcdee6d5ac226525b42200b5f7a34,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
56,controllers,PASS,run,0,25.615481,833acd006473c7d3b15edab630458e0d6098299041ac0850bf0dd2e8805e90a6,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/controllers__demo-56-deterministic-operator-calculus-vs-fd.out.txt,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/controllers__demo-56-deterministic-operator-calculus-vs-fd.err.txt,fe207bda067c6f076436b44b86c3f3bf29ce228fa90324854566273b56b83679,f5e77d1c0760411daab72a905be3a6857e6de36e2c294f89baae057b14b68404,
58,general_relativity,PASS,run,0,1.087566,4a573b4927fb8682d04293870edd17e90aa84c972f12da542e448a4eebc9b7be,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/general_relativity__demo-58-emergent-weak-field-gr.out.txt,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/general_relativity__demo-58-emergent-weak-field-gr.err.txt,8e476cedfbe858216371ba1497bc6c43205b9b0abbddd95e27ca5681235f03fb,f88b058fa935fe5c42dfe6b7c419ef5aff0af563f54f74a6a449e918601de914,
59,controllers,PASS,run,0,0.925659,e2c60511de1f189674d6de23fa3a2e49fe5515c9a6b14738e715d1adf3cf1b1f,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/controllers__demo-59-electromagnetism.out.txt,gum/authority_archive/AOR_20260209T040755Z_0fc79a0/GUM_BUNDLE_v30_20260209T040755Z/logs/controllers__demo-59-electromagnetism.err.txt,fec26bc1bf5505dce14211d6ac2310d3bc9b39302f4db663d340f25aafc6d2cf,d08bda10cb25f4a936eeab5960d1419880898b4d7558a46719818b03c013a318,
