demo_id,domain,folder,one_liner,status,returncode,seconds,code_sha256
34,bridge,demo-34-omega-sm-master-flagship,"(cd ""demos/bridge/demo-34-omega-sm-master-flagship"" && python demo.py)",PASS,0,0.662306,396c4588e85de170a7ea898ac1311b1f09ae7cef7024cc8f619ccb82cc00de1e
11,controllers,demo-11-step-tests-do-not-certify-admissibility,"(cd ""demos/controllers/demo-11-step-tests-do-not-certify-admissibility"" && python demo.py)",PASS,0,5.79629,95eb59745ae5dcbf02142a3309a0e91910f9b3e213dcfd7ac871d36c71fc4100
56,controllers,demo-56-deterministic-operator-calculus-vs-fd,"(cd ""demos/controllers/demo-56-deterministic-operator-calculus-vs-fd"" && python demo.py)",PASS,0,24.497844,833acd006473c7d3b15edab630458e0d6098299041ac0850bf0dd2e8805e90a6
59,controllers,demo-59-electromagnetism,"(cd ""demos/controllers/demo-59-electromagnetism"" && python demo.py)",PASS,0,0.697576,e2c60511de1f189674d6de23fa3a2e49fe5515c9a6b14738e715d1adf3cf1b1f
69,controllers,demo-69-oatb-operator-admissibility-transfer-bridge,"(cd ""demos/controllers/demo-69-oatb-operator-admissibility-transfer-bridge"" && python demo.py)",PASS,0,5.819319,f88eb6ef2f6c2ce1a11c4cd6664880b49a22c85486e91c5e4a1dec081383da1e
36,cosmo,demo-36-big-bang-master-flagship,"(cd ""demos/cosmo/demo-36-big-bang-master-flagship"" && python demo.py)",PASS,0,16.445449,ab74d2b829420baf3a834e637af3d36d1cc613f1b0b02ceba9894b1fb466f414
39,cosmo,demo-39-bb-a2,"(cd ""demos/cosmo/demo-39-bb-a2"" && python demo.py)",PASS,0,0.332521,e72e7790657950b2f91ec38c3a9014394a10ed5ad0d48ede23e29a124edf1b64
53,foundations,demo-53-lawbook-emergence,"(cd ""demos/foundations/demo-53-lawbook-emergence"" && python demo.py)",PASS,0,0.529574,3bb3ee1797bb7e46bbd488f7c27a631b6677a28d6b026623bd9fcb76bd04b45d
71,foundations,demo-71-one-action-master-flagship,"(cd ""demos/foundations/demo-71-one-action-master-flagship"" && python demo.py)",PASS,0,0.276351,78bf2731adce3bdd46f7ac93c12c14f72890f7d41adbb4151b2dac9e234929d5
75,foundations,demo-75-prediction-ledger-master-flagship,"(cd ""demos/foundations/demo-75-prediction-ledger-master-flagship"" && python demo.py)",PASS,0,0.165696,25d17946394abb9bda0d483a7a2c86749104c75a5856bfbd5c0792fcdf7a19bc
77,foundations,demo-77-grammar-rigidity-master-flagship,"(cd ""demos/foundations/demo-77-grammar-rigidity-master-flagship"" && python demo.py)",PASS,0,26.011215,ed4a0b02f32ec5e0dedebf7fc90f6bceb109b52862574e24cf5768783c5b7873
78,foundations,demo-78-midlift-protocol-master-flagship,"(cd ""demos/foundations/demo-78-midlift-protocol-master-flagship"" && python demo.py)",PASS,0,983.288719,088394beaee28255ee9e5ee4cc7908f7d72065175c479b6627e88bbc6799d9e5
51,general_relativity,demo-51-qft-gr-vacuum-suppression,"(cd ""demos/general_relativity/demo-51-qft-gr-vacuum-suppression"" && python demo.py)",PASS,0,0.061029,f0912b3074c3de95e9b8e78cbc92dd5a1c576a65b31587889009bdbfd838e870
