demo_id,domain,status,mode,returncode,seconds,code_sha256,stdout_path,stderr_path,stdout_sha256,stderr_sha256,notes
33,standard_model,PASS,cert,0,0.529053,33413bbb5d92dc70572d72e928f9adf6e165b493a74ed01da1bb19e1361460af,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/standard_model__demo-33-first-principles-standard-model-sm28-closure.out.txt,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/standard_model__demo-33-first-principles-standard-model-sm28-closure.err.txt,e99729564a0915a259accc26d954a8893e430a92ebd9296f2122445d003a5428,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
34,bridge,PASS,run,0,0.706271,396c4588e85de170a7ea898ac1311b1f09ae7cef7024cc8f619ccb82cc00de1e,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/bridge__demo-34-omega-sm-master-flagship-v1.out.txt,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/bridge__demo-34-omega-sm-master-flagship-v1.err.txt,480e5f9245792e50b9d66688e22f17e6c79f6bb448f20f5d95e4223b9a6bc8ab,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
36,cosmo,PASS,run,0,22.554141,be1384b930644f1d3e142422a1603811e2363014c4824850de0b205d4519bc8f,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/cosmo__demo-36-big-bang-master-flagship.out.txt,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/cosmo__demo-36-big-bang-master-flagship.err.txt,f21c9b80869a673aa7bd9e7c533002383e3d214d8b3770d189dea47c4d2cf3b6,8a127c70176f7aaf960b1d05e9a2d7faa5ada4d4a75b14b935cc1d256a2e6fd4,
37,standard_model,PASS,run,0,0.230207,2278243c792ac568e606e097da916f958d26486f4c96367cef7bba5914aac20b,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/standard_model__demo-37-math-sm-master-flagship.out.txt,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/standard_model__demo-37-math-sm-master-flagship.err.txt,dd810d79ac8a90dff803d30d97fa84cd39a84ed820760fcbae3810f596d9b594,fa7469ec28d85a25f1673d080d3e681cf07623cdbb3f031dcdbe5bf731de5745,
39,cosmo,PASS,run,0,0.307537,e72e7790657950b2f91ec38c3a9014394a10ed5ad0d48ede23e29a124edf1b64,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/cosmo__demo-39-bb-a2.out.txt,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/cosmo__demo-39-bb-a2.err.txt,aa02090c2b820ce49c257c9670cd04334ab5370153850205b0f0f1588a769640,1d387fcbd16df8bad75dbbdf152f1d6614037fa87fbdf67cfde1f2149321c33a,
40,substrate,PASS,run,0,0.216245,b12dd83a0b14307ec17de80f1286391c85bdae6904536a556a4e35d9445e7eb4,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/substrate__demo-40-universe-from-zero.out.txt,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/substrate__demo-40-universe-from-zero.err.txt,8404b64f1a6f1e1f0cf156f8c0bfdae4e7244fb0d5eda3a2af2d960fb089a5d6,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
51,general_relativity,PASS,run,0,0.059046,f0912b3074c3de95e9b8e78cbc92dd5a1c576a65b31587889009bdbfd838e870,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/general_relativity__demo-51-qft-gr-vacuum-suppression.out.txt,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/general_relativity__demo-51-qft-gr-vacuum-suppression.err.txt,b9295824d764926352009347534fac8418de4063ef8cc016596da133e15c57df,35c80af9739e17ee611fa001036951b10126d268e2e8c09073659a1536a2a96b,
53,foundations,PASS,run,0,0.53924,3bb3ee1797bb7e46bbd488f7c27a631b6677a28d6b026623bd9fcb76bd04b45d,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/foundations__demo-53-lawbook-emergence.out.txt,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/foundations__demo-53-lawbook-emergence.err.txt,6734da516df09d588bd58935c093ecba9d8b22fde4d3bd5b752a2410749171e6,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
54,standard_model,PASS,run,0,2.320765,c43a2a3b36de4d68a45882247387ca0746ecb1ebc27a486d1dd359b95820ee65,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/standard_model__demo-54-master-flagship-demo.out.txt,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/standard_model__demo-54-master-flagship-demo.err.txt,31cea528daab17ede876782003420f5ab101abeebef13a7c5bc3d6882ce68a00,895fd24a412edb6859f1ef50adcb189acc1efbc15057b2383c6dddae5d8ae2ac,
55,standard_model,PASS,run,0,0.063193,d614263c9bf5aa4aba59c632765808ae521f5834390a1b6dc9cfb2ce712a3a49,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/standard_model__demo-55-proton-charge-radius.out.txt,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/standard_model__demo-55-proton-charge-radius.err.txt,d6cadd09bc0c611593ef87a13e01b4f05b06927cd7a7bacc9370e25fcf0e690b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
56,controllers,PASS,run,0,23.94071,833acd006473c7d3b15edab630458e0d6098299041ac0850bf0dd2e8805e90a6,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/controllers__demo-56-deterministic-operator-calculus-vs-fd.out.txt,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/controllers__demo-56-deterministic-operator-calculus-vs-fd.err.txt,c835478fb6279c9e5c1b9b8a080bc63b7ad711ccceccf1e9d93ea6197f945148,f5e77d1c0760411daab72a905be3a6857e6de36e2c294f89baae057b14b68404,
58,general_relativity,PASS,run,0,0.898913,4a573b4927fb8682d04293870edd17e90aa84c972f12da542e448a4eebc9b7be,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/general_relativity__demo-58-emergent-weak-field-gr.out.txt,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/general_relativity__demo-58-emergent-weak-field-gr.err.txt,3586b2be6275743a8507240a954dc73089a126cf125bb6fdcd2bcdc9bc38505c,f88b058fa935fe5c42dfe6b7c419ef5aff0af563f54f74a6a449e918601de914,
59,controllers,PASS,run,0,0.92424,e2c60511de1f189674d6de23fa3a2e49fe5515c9a6b14738e715d1adf3cf1b1f,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/controllers__demo-59-electromagnetism.out.txt,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/controllers__demo-59-electromagnetism.err.txt,653abb7a3514bda242e6da0cf2b98b8fe105ef3f22198b5fa7aaa62aec598684,d08bda10cb25f4a936eeab5960d1419880898b4d7558a46719818b03c013a318,
60,quantum,PASS,run,0,0.257327,fba4ac6667a7e649d774e3aee773be53362fd17c92af83a116c2122536b660f2,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/quantum__demo-60-quantum-master-flagship.out.txt,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/quantum__demo-60-quantum-master-flagship.err.txt,0d306056a3c58793f2d59f7e1500449a1a99eea23b45466ff7f7ea6d55616528,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
63,general_relativity,PASS,run,0,0.130191,ac29eabd147832e91543a2f1b2975d222ea526e2536e9c34a63e3fb193b4c37d,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/general_relativity__demo-63-gravitational-wave-inspiral-phasing.out.txt,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/general_relativity__demo-63-gravitational-wave-inspiral-phasing.err.txt,2ea8697dec0ccdf5ac8397166b6b558fffeb6e2fad83119b7eb645641e4c7b6e,d28d2cdfc44fd8aa9c1f8033ea98b5007dd8eb6976a2763e0873089fb2acf675,
64,substrate,PASS,run,0,0.074922,6c0694a41546b177acc71cc8e29d6ca3395e2c8feacedc5affe2063a4251aca5,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/substrate__demo-64-base-gauge-invariance-integer-selector.out.txt,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/substrate__demo-64-base-gauge-invariance-integer-selector.err.txt,347c0416bbba540f17ed67e5da165331416c5bef0c39e99f16edc53e0c4edc5d,32d37004e3a4e4a22878824c52cf7dc3139912100a73c1a7cbea4a11209afa9d,
65,infinity,PASS,run,0,3.243694,fbc59e24b80b3f94061e68fa213b7cc6b7b37090d1cb6b14ea0d05f2b4161d3a,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/infinity__demo-65-continuous-lift-paradox.out.txt,GUM/authority_archive/AOR_20260124T144253Z_32dfb85/GUM_BUNDLE_v30_20260124T144253Z/logs/infinity__demo-65-continuous-lift-paradox.err.txt,8ab08d6fe879f8dcc63f9ae9d40043460595963d1e570d2480aa599d66825fbe,a3eba0d313dafa5c500d29d333d096a3bd7baccce8c90289a9bda316c9fd2cc8,
