demo_id,domain,status,mode,returncode,seconds,code_sha256,stdout_path,stderr_path,stdout_sha256,stderr_sha256,notes
33,standard_model,PASS,cert,0,0.578979,33413bbb5d92dc70572d72e928f9adf6e165b493a74ed01da1bb19e1361460af,GUM/authority_archive/AOR_20260124T175825Z_de079b9/GUM_BUNDLE_v30_20260124T175825Z/logs/standard_model__demo-33-first-principles-standard-model-sm28-closure.out.txt,GUM/authority_archive/AOR_20260124T175825Z_de079b9/GUM_BUNDLE_v30_20260124T175825Z/logs/standard_model__demo-33-first-principles-standard-model-sm28-closure.err.txt,e99729564a0915a259accc26d954a8893e430a92ebd9296f2122445d003a5428,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
34,bridge,PASS,run,0,0.798855,396c4588e85de170a7ea898ac1311b1f09ae7cef7024cc8f619ccb82cc00de1e,GUM/authority_archive/AOR_20260124T175825Z_de079b9/GUM_BUNDLE_v30_20260124T175825Z/logs/bridge__demo-34-omega-sm-master-flagship-v1.out.txt,GUM/authority_archive/AOR_20260124T175825Z_de079b9/GUM_BUNDLE_v30_20260124T175825Z/logs/bridge__demo-34-omega-sm-master-flagship-v1.err.txt,4527dbc1bc7686311c973f31de7b3de7a584263922ea66d28a29a3d7803dc572,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
36,cosmo,PASS,run,0,16.715636,be1384b930644f1d3e142422a1603811e2363014c4824850de0b205d4519bc8f,GUM/authority_archive/AOR_20260124T175825Z_de079b9/GUM_BUNDLE_v30_20260124T175825Z/logs/cosmo__demo-36-big-bang-master-flagship.out.txt,GUM/authority_archive/AOR_20260124T175825Z_de079b9/GUM_BUNDLE_v30_20260124T175825Z/logs/cosmo__demo-36-big-bang-master-flagship.err.txt,ade199249750bc8a5cc5ca945a56f58634c91fc50522870e898ec24100a617c2,8a127c70176f7aaf960b1d05e9a2d7faa5ada4d4a75b14b935cc1d256a2e6fd4,
37,standard_model,PASS,run,0,0.235809,2278243c792ac568e606e097da916f958d26486f4c96367cef7bba5914aac20b,GUM/authority_archive/AOR_20260124T175825Z_de079b9/GUM_BUNDLE_v30_20260124T175825Z/logs/standard_model__demo-37-math-sm-master-flagship.out.txt,GUM/authority_archive/AOR_20260124T175825Z_de079b9/GUM_BUNDLE_v30_20260124T175825Z/logs/standard_model__demo-37-math-sm-master-flagship.err.txt,c66f354f188e84a5d4fae9c8e969074052687754533dcd25c83db0091fc50028,fa7469ec28d85a25f1673d080d3e681cf07623cdbb3f031dcdbe5bf731de5745,
39,cosmo,PASS,run,0,0.354151,e72e7790657950b2f91ec38c3a9014394a10ed5ad0d48ede23e29a124edf1b64,GUM/authority_archive/AOR_20260124T175825Z_de079b9/GUM_BUNDLE_v30_20260124T175825Z/logs/cosmo__demo-39-bb-a2.out.txt,GUM/authority_archive/AOR_20260124T175825Z_de079b9/GUM_BUNDLE_v30_20260124T175825Z/logs/cosmo__demo-39-bb-a2.err.txt,04ac4119af9b965db74730e95c8a2a8e1045a04b8efb2ce6a667fd4362d0ab32,1d387fcbd16df8bad75dbbdf152f1d6614037fa87fbdf67cfde1f2149321c33a,
40,substrate,PASS,run,0,0.190739,b12dd83a0b14307ec17de80f1286391c85bdae6904536a556a4e35d9445e7eb4,GUM/authority_archive/AOR_20260124T175825Z_de079b9/GUM_BUNDLE_v30_20260124T175825Z/logs/substrate__demo-40-universe-from-zero.out.txt,GUM/authority_archive/AOR_20260124T175825Z_de079b9/GUM_BUNDLE_v30_20260124T175825Z/logs/substrate__demo-40-universe-from-zero.err.txt,9e87a9446d50edbdac12c33a98d2c9c016c22a235f20f94f7a5cb5fa65e0da46,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
51,general_relativity,PASS,run,0,0.058564,f0912b3074c3de95e9b8e78cbc92dd5a1c576a65b31587889009bdbfd838e870,GUM/authority_archive/AOR_20260124T175825Z_de079b9/GUM_BUNDLE_v30_20260124T175825Z/logs/general_relativity__demo-51-qft-gr-vacuum-suppression.out.txt,GUM/authority_archive/AOR_20260124T175825Z_de079b9/GUM_BUNDLE_v30_20260124T175825Z/logs/general_relativity__demo-51-qft-gr-vacuum-suppression.err.txt,eff33f4c5266e68e02fe23105174bdb77d78142bdfcfb4c069f44385d25d54f5,35c80af9739e17ee611fa001036951b10126d268e2e8c09073659a1536a2a96b,
53,foundations,PASS,run,0,0.541511,3bb3ee1797bb7e46bbd488f7c27a631b6677a28d6b026623bd9fcb76bd04b45d,GUM/authority_archive/AOR_20260124T175825Z_de079b9/GUM_BUNDLE_v30_20260124T175825Z/logs/foundations__demo-53-lawbook-emergence.out.txt,GUM/authority_archive/AOR_20260124T175825Z_de079b9/GUM_BUNDLE_v30_20260124T175825Z/logs/foundations__demo-53-lawbook-emergence.err.txt,6734da516df09d588bd58935c093ecba9d8b22fde4d3bd5b752a2410749171e6,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
54,standard_model,PASS,run,0,2.414305,c43a2a3b36de4d68a45882247387ca0746ecb1ebc27a486d1dd359b95820ee65,GUM/authority_archive/AOR_20260124T175825Z_de079b9/GUM_BUNDLE_v30_20260124T175825Z/logs/standard_model__demo-54-master-flagship-demo.out.txt,GUM/authority_archive/AOR_20260124T175825Z_de079b9/GUM_BUNDLE_v30_20260124T175825Z/logs/standard_model__demo-54-master-flagship-demo.err.txt,7834226a7a94d743689830a953e737e70345d4743a75c17745b755a8443482d6,895fd24a412edb6859f1ef50adcb189acc1efbc15057b2383c6dddae5d8ae2ac,
55,standard_model,PASS,run,0,0.055487,d614263c9bf5aa4aba59c632765808ae521f5834390a1b6dc9cfb2ce712a3a49,GUM/authority_archive/AOR_20260124T175825Z_de079b9/GUM_BUNDLE_v30_20260124T175825Z/logs/standard_model__demo-55-proton-charge-radius.out.txt,GUM/authority_archive/AOR_20260124T175825Z_de079b9/GUM_BUNDLE_v30_20260124T175825Z/logs/standard_model__demo-55-proton-charge-radius.err.txt,dfa07c5bd0482e06cb87908a6a6445f46949e20b9cb74ecf7e69dbf400bb981d,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
